tVal2,tVal3,tVal4,tVal5,tVal6,tVal7,ax,ay,az,gx,gy,gz,face
0,1,0,0,1,1,0.01,0.08,-1.11,-447.89,2478.91,-131.51,1
0,1,0,0,1,1,-0.08,0.07,-1.19,-235.73,4220.85,-342.43,1
0,1,0,0,1,1,-0.03,0.01,-1.17,-1901.99,952.85,315.14,1
0,1,0,0,1,1,-0.01,0.02,-1.08,261.79,800.25,306.45,1
0,1,0,0,1,1,-0.07,0,-1.17,2895.78,-756.82,-870.97,1
0,1,0,0,1,1,-0.03,0,-1.17,692.31,-1820.1,1017.37,1
0,1,0,0,1,1,-0.04,0,-1.18,-1084.37,-1801.49,669.98,1
0,1,0,0,1,1,0.03,-0.08,-1.14,-2470.22,-2081.89,-26.05,1
0,1,0,0,1,1,0.09,-0.11,-1.08,-452.85,516.13,491.32,1
0,1,0,0,1,1,0,-0.17,-1.09,2838.71,5951.62,2213.4,1
0,1,0,0,1,1,-0.11,-0.06,-1.13,4899.51,4460.3,98.01,1
0,1,0,0,1,1,-0.18,0.01,-1.17,5718.37,-554.59,-2263.03,1
0,1,0,0,1,1,-0.06,0.05,-1.18,-142.68,-4915.64,-947.89,1
0,1,0,0,1,1,0.02,0.03,-1.15,-4377.17,-5069.48,-286.6,1
0,1,0,0,1,1,0.09,-0.11,-1.12,-3491.32,-722.08,784.12,1
0,1,0,0,1,1,0.04,-0.18,-1.09,233.25,3786.6,1931.76,1
0,1,0,0,1,1,-0.08,-0.12,-1.16,4749.38,3070.72,806.45,1
0,1,0,0,1,1,-0.06,0.01,-1.18,4885.86,-96.77,-705.96,1
0,1,0,0,1,1,-0.02,0,-1.14,2565.76,-1955.34,-2070.72,1
0,1,0,0,1,1,0.02,0.01,-1.12,1296.53,-1333.75,-1689.83,1
0,1,0,0,1,1,0.02,-0.01,-1.15,-1598.02,-321.34,382.13,1
0,1,0,0,1,1,0.01,-0.04,-1.15,-2168.74,-874.69,724.57,1
0,1,0,0,1,1,0.03,-0.09,-1.12,-1390.82,483.87,1425.56,1
0,1,0,0,1,1,0.04,-0.12,-1.09,1779.16,3398.26,2452.85,1
0,1,0,0,1,1,-0.09,-0.08,-1.07,5500,4104.22,1523.57,1
0,1,1,0,1,1,-0.15,0.02,-1.16,9368.49,-1171.22,-2127.79,1
0,1,0,0,1,1,-0.02,0.18,-1.21,10000,-6047.15,-1000,1
0,1,1,0,1,1,0.09,0.24,-1.21,-2000,-1161.29,-2816.38,1
0,1,1,0,1,1,0.07,0.1,-1.16,-3636.48,500,1388.34,1
0,1,1,0,1,1,0.02,-0.01,-1.13,-3172.46,3203.48,4136.48,1
0,1,0,0,1,1,-0.08,-0.05,-1.12,1966.5,4021.09,6266.75,1
0,1,0,0,1,1,-0.1,0.09,-1.14,3616.63,1277.92,475.19,1
0,1,0,0,1,1,-0.09,0.07,-1.15,3016.13,-3023.57,-2763.03,1
0,1,0,0,1,1,0.01,0.13,-1.14,-111.66,-4791.57,-3790.32,1
0,1,1,0,1,1,0.1,0.09,-1.14,-5018.61,-2181.14,-3137.72,1
0,1,0,0,1,1,0.08,-0.06,-1.13,-5141.44,2249.38,13.65,1
0,1,0,0,1,1,0,-0.16,-1.17,-751.86,3590.57,1851.12,1
0,1,0,0,1,1,-0.05,-0.13,-1.13,2230.77,3178.66,2202.23,1
0,1,0,0,1,1,-0.1,-0.09,-1.15,4027.3,1951.61,1535.98,1
