tVal2,tVal3,tVal4,tVal5,tVal6,tVal7,ax,ay,az,gx,gy,gz,face
,,,,,,,,,,,,
0,1,1,1,1,1,-0.04,-0.01,-1.05,195.66,-3495.59,3536.15,1
,,,,,,,,,,,,
0,1,1,1,1,1,-0.05,-0.01,-1.15,-2192.8,-2324.03,2901.46,1
,,,,,,,,,,,,
0,1,1,1,1,1,-0.25,-0.01,-1.12,10680.04,30816.07,-25010.77,1
,,,,,,,,,,,,
0,1,1,1,1,1,-0.06,0.05,-0.97,8692.45,-48919.17,21092.84,1
,,,,,,,,,,,,
0,1,1,1,1,1,-0.15,-0.1,-1.21,-22128.39,3245.05,8255.79,1
,,,,,,,,,,,,
0,1,1,1,1,1,-0.11,-0.37,-1.1,-3571.94,16428.08,-11603.45,1
,,,,,,,,,,,,
0,1,1,1,1,1,-0.18,0.04,-0.98,54800.82,-29895.05,-18062.54,1
,,,,,,,,,,,,
0,1,1,1,1,1,0.07,0.09,-1.08,-27406.38,-21930.35,18537.36,1
,,,,,,,,,,,,
0,1,1,1,1,1,0.08,-0.04,-1.15,-22450.51,17957.55,-17153.44,1
,,,,,,,,,,,,
0,1,1,1,1,1,-0.17,-0.22,-1.27,33989.54,19088.54,-28076.86,1
,,,,,,,,,,,,
0,1,1,1,1,1,0.03,0.03,-1.15,5619.19,-38771.22,33700.82,1
,,,,,,,,,,,,
0,1,1,1,1,1,0.26,0.07,-1.08,-16683.39,-12510.15,5504.66,1
,,,,,,,,,,,,
0,1,1,1,1,1,0.03,-0.25,-1.04,-18654.28,47685.57,-34538.34,1
,,,,,,,,,,,,
0,1,1,1,1,1,-0.21,-0.11,-1.28,38403.77,7442.15,-36389.92,1
,,,,,,,,,,,,
0,1,1,1,1,1,0.03,0.21,-1.05,293.49,-47375.38,27819.17,1
,,,,,,,,,,,,
0,1,1,1,1,1,0.24,0.2,-1.08,-34559.81,-29618.26,18429.99,1
,,,,,,,,,,,,
0,1,1,1,1,1,0.53,-0.14,-1.02,-15337.65,-10749.24,-4192.32,1
,,,,,,,,,,,,
0,1,1,1,1,1,0.36,-0.38,-1.12,1064.19,18709.16,-15538.08,1
,,,,,,,,,,,,
0,1,1,1,1,1,0.61,-0.05,-1,7900.27,-21854,14168.47,1
,,,,,,,,,,,,
0,1,1,1,0,1,0.67,0.21,-0.76,4731.57,-85.9,-6108.33,1
,,,,,,,,,,,,
0,1,1,1,1,1,0.43,-0.07,-1.07,12359.83,34392.79,-16886.2,1
,,,,,,,,,,,,
0,1,1,1,1,1,0.27,0.19,-1.05,6449.54,-66.81,-174.18,1
,,,,,,,,,,,,
0,1,1,1,1,1,-0.08,0.05,-1.1,-2319.26,31407.81,-19248.41,1
,,,,,,,,,,,,
0,1,1,1,1,1,0.11,-0.03,-1.12,6828.93,-18721.09,21861.15,1
,,,,,,,,,,,,
0,1,1,1,1,1,0.2,0.16,-0.96,7313.3,-26451.95,14242.44,1
,,,,,,,,,,,,
0,1,1,1,0,1,0.5,-0.09,-1.11,-12328.81,-5063.24,-5943.7,1
,,,,,,,,,,,,
0,1,1,1,1,1,0.15,-0.17,-1.07,-5864.96,45340.06,-35762.39,1
,,,,,,,,,,,,
0,1,1,1,1,1,-0.02,-0.03,-1.07,56366.09,3078.03,-29978.56,1
,,,,,,,,,,,,
0,1,1,1,1,1,0.09,0.31,-0.96,2359.82,-17862.11,17115.27,1
,,,,,,,,,,,,
0,1,1,1,1,1,-0.38,0.19,-1.13,-20668.12,45010.79,-12572.19,1
,,,,,,,,,,,,
0,1,0,1,1,1,-0.25,0.02,-1.22,2288.24,-31410.2,18878.57,1
,,,,,,,,,,,,
0,1,1,1,1,1,0.01,-0.06,-1.14,-2970.65,-47358.68,35707.51,1
,,,,,,,,,,,,
0,1,1,1,1,1,0.47,0.01,-1.02,-1090.43,-28167.53,12476.75,1
,,,,,,,,,,,,
0,1,1,1,0,1,0.49,0.31,-0.92,58444.35,27790.53,-5416.37,1
,,,,,,,,,,,,
0,1,1,0,1,1,0.37,0.34,-0.96,-21729.92,13908.39,-16719.18,1
,,,,,,,,,,,,
0,1,1,1,0,1,0.5,0.31,-1,-32271.57,-48403.78,23972.82,1
,,,,,,,,,,,,
0,1,1,1,0,1,0.65,0.2,-0.81,-10023.87,13827.26,-16859.96,1
,,,,,,,,,,,,
0,1,1,1,1,1,0.26,0.24,-1.05,48878.6,40119.35,-16979.26,1
,,,,,,,,,,,,
0,1,1,1,1,1,0.15,0.49,-0.98,-7313.3,28620.88,-15337.65,1
,,,,,,,,,,,,
0,1,1,1,1,1,-0.19,0.25,-1.02,-2087.81,25278,-7988.56,1
,,,,,,,,,,,,
0,1,1,1,1,1,-0.08,0.11,-1.15,-18790.29,-24633.77,24660.01,1
,,,,,,,,,,,,
0,1,1,1,1,1,0.2,-0.09,-1.17,-23097.14,-8143.65,7549.52,1
,,,,,,,,,,,,
0,1,1,1,1,1,0.04,-0.01,-1.2,46511.62,16270.6,-12352.67,1
,,,,,,,,,,,,
0,1,1,1,1,1,0.28,0.22,-1.06,-18637.58,-36504.45,16659.53,1
,,,,,,,,,,,,
0,1,1,1,0,1,0.33,0.3,-1.03,6206.16,-994.99,4631.36,1
,,,,,,,,,,,,
0,1,1,1,1,1,0,0.24,-1.15,1142.93,49460.8,-28632.82,1
,,,,,,,,,,,,
0,1,1,1,1,1,0.11,0.1,-1.16,17893.12,-4884.28,-10582.21,1
,,,,,,,,,,,,
0,1,1,1,1,1,0.06,0.31,-1.05,1493.68,-26270.61,8358.4,1
,,,,,,,,,,,,
0,1,1,1,1,1,0.2,0.09,-1.12,-38916.77,8666.2,4197.09,1
,,,,,,,,,,,,
0,1,1,1,1,1,0.07,0.13,-1.14,69520.48,9117.17,-17749.96,1
,,,,,,,,,,,,
0,1,1,1,1,1,0.05,0.3,-0.89,-14061.1,38205.72,-27287.07,1
,,,,,,,,,,,,
0,1,1,1,1,1,0.09,-0.08,-1.5,-22880.01,-29014.59,28752.12,1
,,,,,,,,,,,,
0,1,1,1,1,1,0.3,0.12,-0.94,11729.91,-36339.82,27912.22,1
,,,,,,,,,,,,
0,1,1,1,0,1,0.57,0,-0.97,-21558.13,7272.74,-4884.28,1
,,,,,,,,,,,,
0,1,1,1,1,1,0.21,-0.3,-1.18,-11574.82,25332.88,-16642.82,1
,,,,,,,,,,,,
0,1,1,1,1,1,0.12,0.05,-1.06,39141.06,10816.05,-17828.7,1
,,,,,,,,,,,,
0,1,1,1,1,1,0.18,0.1,-1.11,-9214.99,-29427.38,19549.05,1
,,,,,,,,,,,,
0,1,1,1,1,1,0.18,0.33,-1.08,52257.27,14671.93,-10806.5,1
,,,,,,,,,,,,
0,1,1,1,1,1,0.31,0.44,-1.01,17010.28,14810.32,-19393.96,1
,,,,,,,,,,,,
