tVal2,tVal3,tVal4,tVal5,tVal6,tVal7,ax,ay,az,gx,gy,gz,face
1,1,1,1,0,1,1.06,-0.04,0.15,-2588.88,9432.13,2202.34,5
1,1,1,1,0,1,1.06,0.02,0.02,7067.53,-31582.00,-5700.32,0
1,1,1,1,0,1,0.88,0.04,0.69,12732.06,703.89,10076.37,0
1,1,1,1,0,1,0.91,-0.26,-0.00,-7630.65,38854.73,2593.66,5
1,1,1,1,0,1,0.94,0.16,-0.27,-31811.06,31787.20,-7291.82,0
1,1,1,1,0,1,1.15,0.03,-0.23,21267.02,-43290.43,11460.28,0
1,1,1,0,0,1,0.88,0.02,0.56,9074.22,-19639.73,24986.90,4
1,1,1,0,0,0,0.85,0.44,0.17,-12655.71,19778.12,6535.44,4
1,1,1,0,0,1,0.92,0.38,-0.23,-18322.62,16809.85,-41868.34,4
1,1,1,1,0,1,1.09,-0.12,-0.28,60663.39,-48711.58,8260.57,5
1,1,1,0,0,0,0.94,0.25,0.51,8112.63,-13266.54,8282.04,4
1,1,1,1,0,1,0.98,-0.14,-0.28,-32970.69,31579.61,-40663.37,5
1,1,1,1,0,1,0.91,0.11,0.09,47165.41,-36797.94,17403.98,0
1,1,1,1,0,0,0.84,-0.09,0.38,39608.73,-42381.34,1035.55,5
1,1,1,1,0,0,0.63,0.04,0.89,-53755.73,26988.81,9591.99,6
1,1,1,0,0,0,0.85,0.38,0.32,-25643.07,25972.35,-20670.51,4
1,1,1,1,0,1,1.03,-0.14,-0.12,-17876.42,24306.88,-18890.50,5
1,0,1,1,0,1,0.99,-0.28,-0.61,-887.62,21252.71,7236.94,5
0,1,1,1,0,1,0.83,0.36,-0.70,13152.01,-20405.65,-18429.99,0
1,0,1,1,0,1,0.85,-0.32,-0.20,23097.14,-39637.36,-36363.68,5
1,0,1,1,0,1,0.89,-0.73,-0.27,-2087.81,25142.00,7907.43,5
0,0,1,1,0,1,1.15,-0.17,-0.82,18632.80,-3414.46,43464.61,5
1,1,1,0,0,1,0.88,0.26,0.10,41462.70,-41004.58,-6511.58,4
1,1,1,1,0,1,0.99,-0.42,-0.05,-9308.05,17986.18,-31326.69,5
1,0,1,1,0,1,1.05,-0.48,-0.02,16482.96,-26986.43,-8592.23,5
1,1,1,1,0,1,0.72,-0.18,0.62,10909.10,-20510.64,39083.79,5
1,1,1,1,0,1,0.79,-0.02,0.32,-38408.54,40539.30,-9541.89,5
1,1,1,1,0,1,1.02,-0.05,-0.25,-18611.33,23078.05,-18890.50,5
1,0,1,1,0,1,1.03,-0.11,-0.41,7205.93,-1858.75,36065.42,5
1,1,1,0,0,1,0.95,0.41,-0.03,39744.73,-29580.09,-14481.05,4
1,1,1,1,0,1,0.85,-0.11,0.39,-17981.41,28597.03,-14228.12,5
1,0,1,1,0,1,1.05,-0.26,-0.58,-21570.05,28780.75,-687.19,5
1,1,1,1,0,1,1.13,0.03,-0.56,34003.86,-19417.82,37341.96,0
1,1,1,0,0,1,0.90,0.34,-0.01,21271.80,-19090.93,-27549.54,4
1,1,1,1,0,1,0.90,-0.29,0.46,3140.07,12825.12,-12414.71,5
1,0,1,1,0,1,0.94,-0.36,-0.16,-24347.44,36938.72,288.71,5
1,0,1,1,0,1,0.98,-0.13,-0.08,36874.29,-32567.44,-2560.25,5
1,1,1,1,0,1,0.97,-0.09,0.07,22806.04,-36339.82,15573.87,5
1,1,1,1,0,0,0.86,0.05,0.43,-47695.11,27914.61,-3519.45,0
1,1,1,1,0,1,0.97,0.01,0.01,-14555.01,25189.72,-16122.66,0
1,0,1,1,0,1,1.02,-0.21,-0.26,-17127.20,24476.29,-16950.63,5
1,1,1,1,0,1,0.99,0.12,-0.70,-45.34,15953.25,34263.94,0
1,1,1,1,0,1,0.97,-0.04,-0.55,39329.56,-41131.04,-20649.03,5
1,1,1,1,0,1,1.02,0.05,-0.03,9152.96,-17919.37,25335.27,0
1,1,1,0,0,1,0.90,0.57,0.22,-5662.14,-4967.79,-13648.31,4
1,1,1,1,0,1,1.00,-0.14,0.09,7718.93,14683.86,-36230.05,5
1,1,1,1,0,1,0.95,-0.07,0.02,4073.02,-11298.03,-24197.12,5
1,0,1,1,0,1,0.92,-0.13,0.10,1171.56,25163.47,3815.32,5
1,0,1,1,0,1,0.97,-0.59,-0.25,-5087.10,29110.03,18425.22,5
1,1,1,1,0,1,1.17,-0.08,-0.53,21963.76,-37580.57,-1717.97,5
1,1,1,1,0,1,0.90,0.12,0.08,-3841.57,2576.95,4643.29,0
1,0,1,1,0,1,0.99,-0.52,-0.18,-5113.34,8098.31,-37654.54,5
1,0,1,1,0,1,0.96,-0.38,-0.16,11429.27,-13872.60,11615.38,5
1,1,1,1,0,1,0.94,-0.06,0.28,7561.45,-4671.92,39728.03,5
1,0,1,1,0,1,0.90,-0.32,-0.24,-23221.21,13655.47,-34693.43,5
1,0,1,1,0,1,1.18,-0.51,-0.56,5666.91,7399.20,21252.71,5
1,1,1,1,0,1,1.03,-0.07,-0.18,29148.21,-38575.56,20615.63,5
1,1,1,1,0,1,0.85,0.10,-0.28,-47928.95,42569.84,-8909.58,0
1,1,1,1,0,1,0.97,-0.22,-0.68,-15213.57,28690.08,-7718.93,5
0,1,1,1,0,1,0.80,0.42,-0.51,50646.68,-33214.07,38181.86,0
1,1,1,1,0,1,0.84,-0.13,-0.10,54185.22,-42660.51,-59689.88,5
1,0,1,1,0,1,0.97,-0.40,0.15,-29634.96,41305.22,11780.02,5
1,1,1,1,0,1,1.26,0.11,-0.53,5802.92,-6241.95,-6482.95,0
1,0,1,1,0,1,0.86,-0.44,0.08,38234.36,-46320.74,-15602.50,5
1,0,1,1,0,1,0.88,-0.29,0.29,-10000.01,4287.76,11920.80,5
1,0,1,1,0,1,1.06,-0.60,-0.15,-19284.20,24600.36,-18122.19,5
1,0,1,1,0,1,1.09,-0.59,-0.28,-5726.56,32035.35,3271.30,5
1,1,1,1,0,1,0.90,-0.09,-0.19,22321.67,-10718.22,33128.17,5
1,1,1,0,0,1,0.99,0.37,-0.29,29117.19,-26494.90,-1219.28,4
1,1,1,1,0,1,0.99,-0.22,-0.09,49062.33,-14955.87,-25089.51,5
1,0,1,1,0,1,1.09,-0.37,-0.27,-26681.01,28656.68,-1777.62,5
1,0,1,1,0,1,1.09,-0.13,-0.52,-17146.29,22880.01,31080.92,5
1,1,1,1,0,1,0.92,0.07,-0.29,49143.46,-57492.31,12166.56,0
1,1,1,0,0,1,1.00,0.08,0.09,25495.14,-16218.10,10388.94,4
1,1,1,0,0,1,0.97,0.13,-0.04,-39496.58,30093.09,-23753.31,4
1,1,1,1,0,1,1.02,0.20,-0.38,-17411.14,14652.84,-24392.77,0
1,0,1,1,0,1,1.12,-0.36,-0.32,31519.96,-17637.81,-9952.29,5
1,0,1,1,0,1,0.96,-0.37,0.04,30095.48,-19074.23,6561.69,5
1,0,1,1,0,1,0.88,-0.27,0.31,8730.62,-22829.90,-12743.99,5
1,0,1,1,0,1,0.91,-0.62,-0.24,-35950.89,53178.30,-15812.47,5
1,0,1,1,0,1,1.12,-0.46,-0.16,-4249.59,5752.81,8103.09,5
1,0,1,1,0,1,1.03,-0.21,-0.23,20450.99,-22047.27,24502.53,5
1,0,1,1,0,1,0.82,-0.43,0.24,34092.14,-26628.52,-13793.86,5
