tVal2,tVal3,tVal4,tVal5,tVal6,tVal7,ax,ay,az,gx,gy,gz,face,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,0.06,-0.05,0.91,2517.3,190.89,-854.21,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,0.02,-0.1,1.01,6377.96,3132.91,-3696.02,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,0.02,0.02,1.04,2469.58,-3171.08,-13741.37,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,0.04,-0.35,0.82,-10722.99,-8618.48,-12808.41,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,0.09,-0.03,0.8,3354.81,17096.18,2593.66,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,-0.2,0.19,0.88,13321.42,-33450.29,-3746.13,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,0.15,-0.33,0.79,9019.34,27165.38,-1911.24,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,-0.12,0.38,0.69,-25559.56,-25712.27,-8697.22,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,-0.06,0.1,0.82,12009.08,35669.33,28050.62,6,,
,,,,,,,,,,,,,,
1,1,1,1,0,0,0.38,-0.6,0.88,37692.71,-19417.82,-35414.02,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,-0.33,-0.11,0.74,-62142.75,-14170.86,11190.66,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,0.2,0.65,0.84,-6163.21,-10035.8,-19293.75,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,-0.36,-0.07,0.75,41469.86,-21178.74,-11968.52,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,0.18,-0.78,0.94,-35418.79,16924.38,36306.41,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,-0.35,0.64,0.72,-23004.08,34089.75,18534.98,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,0.26,0.02,0.82,63237.96,-34757.85,-40501.12,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,-0.3,-0.36,0.78,-38251.05,-18692.46,-12684.34,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,-0.16,0.69,0.66,-18468.17,34667.18,19747.1,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,0.33,-0.24,0.98,23438.35,-18208.08,-23242.69,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,-0.2,0.18,0.77,9856.85,31663.12,11799.11,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,-0.17,-0.33,0.91,17819.16,-39880.74,-30534.51,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,0.06,-0.48,0.83,5053.69,42068.77,29286.6,6,,
